Date Posted,Likes,Comments,Shares,Total Engagement,Humor Type,Cultural Category
1/1/2024,152,73,236,461,Critical Humor,Literary Commentary
1/2/2024,485,140,271,896,Philosophical Humor,Humor and Satire
1/3/2024,910,60,207,1177,Parody,Humor and Satire
1/4/2024,320,144,399,863,Parody,Social Critique
1/5/2024,156,30,60,246,Critical Humor,Humor and Satire
1/6/2024,121,82,176,379,Irony,Philosophical Reflection
1/7/2024,750,176,34,960,Irony,Literary Commentary
1/8/2024,70,27,320,417,Philosophical Humor,Social Critique
1/9/2024,664,141,84,889,Satire,Literary Commentary
1/10/2024,171,98,364,633,Philosophical Humor,Literary Commentary
1/11/2024,516,69,346,931,Critical Humor,Philosophical Reflection
1/12/2024,264,23,28,315,Critical Humor,Humor and Satire
1/13/2024,380,18,363,761,Critical Humor,Humor and Satire
1/14/2024,508,99,148,755,Critical Humor,Literary Commentary
1/15/2024,137,62,155,354,Critical Humor,Social Critique
1/16/2024,422,139,491,1052,Parody,Humor and Satire
1/17/2024,149,93,82,324,Irony,Social Critique
1/18/2024,921,101,158,1180,Critical Humor,Humor and Satire
1/19/2024,713,120,100,933,Satire,Social Critique
1/20/2024,180,197,411,788,Satire,Philosophical Reflection
1/21/2024,711,181,182,1074,Satire,Social Critique
1/22/2024,358,17,438,813,Satire,Philosophical Reflection
1/23/2024,819,184,308,1311,Parody,Philosophical Reflection
1/24/2024,393,44,398,835,Satire,Social Critique
1/25/2024,541,90,280,911,Critical Humor,Philosophical Reflection
1/26/2024,463,173,250,886,Philosophical Humor,Literary Commentary
1/27/2024,855,59,60,974,Satire,Philosophical Reflection
1/28/2024,435,113,47,595,Parody,Humor and Satire
1/29/2024,241,141,154,536,Parody,Social Critique
1/30/2024,326,11,220,557,Satire,Literary Commentary
1/31/2024,210,143,347,700,Philosophical Humor,Social Critique
2/1/2024,509,63,287,859,Satire,Humor and Satire
2/2/2024,363,115,437,915,Parody,Humor and Satire
2/3/2024,71,13,52,136,Irony,Humor and Satire
2/4/2024,302,63,67,432,Critical Humor,Philosophical Reflection
2/5/2024,797,155,426,1378,Parody,Philosophical Reflection
2/6/2024,906,53,81,1040,Satire,Social Critique
2/7/2024,610,171,235,1016,Critical Humor,Social Critique
2/8/2024,524,199,312,1035,Satire,Literary Commentary
2/9/2024,108,23,118,249,Satire,Literary Commentary
2/10/2024,560,104,191,855,Irony,Social Critique
2/11/2024,731,57,379,1167,Critical Humor,Philosophical Reflection
2/12/2024,525,24,233,782,Critical Humor,Humor and Satire
2/13/2024,749,199,494,1442,Irony,Social Critique
2/14/2024,832,49,54,935,Parody,Literary Commentary
2/15/2024,239,91,468,798,Satire,Philosophical Reflection
2/16/2024,736,120,246,1102,Philosophical Humor,Social Critique
2/17/2024,612,62,120,794,Satire,Social Critique
2/18/2024,925,33,450,1408,Satire,Philosophical Reflection
2/19/2024,616,163,481,1260,Parody,Social Critique
